y,c,t,e,l_by_m,h_by_m,small_m,b,r
20,0.0124,20,200,30,15,10,45,1.02
25.5,0.0365,30.5,35000,85,61,38,43,1.5
25.5,0.0365,30.5,35000,85,61,38,43,1.49
24,0.95,40,20000,30,15,10,45,1.16
20,0.0124,20,200,30,15,10,45,1
20,0.0124,20,200,30,15,10,45,1.06
18,0.01,0,1000,35,12.5,5,26.57,0.64
17.64,0.0098,10,200,25,10,5,26.6,1.322
17.64,0.0098,10,200,25,10,5,26.6,1.338
17.64,0.0098,10,200,25,10,5,26.6,1.339
17.64,0.0098,10,200,25,10,5,26.6,1.326
17.64,0.0098,10,200,25,10,5,26.6,1.322
17.64,0.0098,10,200,25,10,5,26.6,1.324
17.64,0.0098,10,200,25,10,5,26.6,1.327
19.5,0.00417,27,1000,60,35,10,63.4,1.3538
19.5,0.00417,27,1000,60,35,10,63.4,1.359
19.5,0.00417,27,1000,60,35,10,63.4,1.359
19.5,0.00417,27,1000,60,35,10,63.4,1.358
19,0.015,20,200,35,12,8.5,63.4,1.10695
19,0.015,20,200,35,12,8.5,63.4,1.24
19,0.015,20,200,35,12,8.5,63.4,1.1289
19,0.015,20,200,35,12,8.5,63.4,1.1229
19,0.015,20,200,35,12,8.5,63.4,1.114
19,0.02,19,1000,35,12,8.5,63.4,1.2917
19,0.02,19,1000,35,12,8.5,63.4,1.48
19,0.02,19,1000,35,12,8.5,63.4,1.349
19,0.02,19,1000,35,12,8.5,63.4,1.3733
19,0.02,19,1000,35,12,8.5,63.4,1.336
19.01,0.014,27.75,200,250,100,60,27.5,1.3776
19.01,0.014,27.75,200,250,100,60,27.5,1.4046
19.01,0.014,27.75,200,250,100,60,27.5,1.395
18.84,0.0144,15,1000,80,20,12.5,44,1.1736
18.84,0.0144,15,1000,80,20,12.5,44,1.305
18.84,0.0144,15,1000,80,20,12.5,44,1.2855
18.84,0.0144,15,1000,80,20,12.5,44,1.257
19.01,0.014,27.75,200,250,100,60,27.5,1.4
19.01,0.014,27.75,200,250,100,60,27.5,1.423
20,0.01,20,200,60,20,10,26.57,1.358
20,0.0075,20,100,60,20,10,26.57,1.228
